métier,domaine de compétence,id_competence,niveau,description
DATA SCIENTISTE,A. Planifier,A.7,4,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,A. Planifier,A.9,4,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,D. Faciliter,D.7,4,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,D. Faciliter,D.10,4,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,D. Faciliter,D.11,5,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,E. Gérer,E.1,3,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA SCIENTISTE,E. Gérer,E.6,4,"Analyse des données complexes pour en extraire des insights et construire des modèles prédictifs. Utilise des techniques de machine learning, statistiques et programmation. Aide à la prise de décision stratégique basée sur la donnée."
DATA ANALYSTE,A. Planifier,A.9,4,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,B. Développer,B.1,2,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,B. Développer,B.3,2,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,B. Développer,B.5,3,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,D. Faciliter,D.7,3,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,D. Faciliter,D.10,4,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,D. Faciliter,D.11,3,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,E. Gérer,E.1,3,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
DATA ANALYSTE,E. Gérer,E.4,3,"Collecte, traite et analyse des données pour produire des rapports opérationnels. Crée des tableaux de bord et visualisations. Soutient les équipes métiers dans le suivi de performance."
